,Sl No,Cast Number,Posting Date,Stack No,Grade,Wt(MT),Pcs,%SI,%FE,%TI,%V,%CU,%MN,OTHIMP,%AL
,298,758134,03.09.2024,,W000,10.28,,0.06,0.18,0.001,0.004,0.001,0.004,0.02,99.73
,299,758136,04.09.2024,,W000,22.903,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,300,758140,04.09.2024,,W000,31.085,,0.06,0.19,0.002,0.004,0.001,0.004,0.02,99.719
,301,758144,04.09.2024,,W000,30.624,,0.06,0.19,0.004,0.012,0.001,0.004,0.02,99.709
,302,758148,05.09.2024,,W000,24.707,,0.06,0.17,0.003,0.013,0.001,0.004,0.02,99.729
,303,758152,05.09.2024,,W000,28.843,,0.06,0.18,0.002,0.008,0.001,0.004,0.02,99.725
,304,758156,05.09.2024,,W000,24.675,,0.06,0.18,0.001,0.002,0.001,0.004,0.02,99.732
,305,758160,06.09.2024,,W000,24.751,,0.06,0.18,0.001,0.003,0.001,0.004,0.02,99.731
,306,758164,06.09.2024,,W000,24.114,,0.06,0.19,0.001,0.005,0.001,0.004,0.02,99.719
,307,758168,07.09.2024,,W000,10.311,,0.06,0.19,0.002,0.006,0.001,0.004,0.02,99.717
,308,758172,07.09.2024,,W000,28.928,,0.06,0.22,0.002,0.004,0.001,0.004,0.02,99.689
,309,758176,07.09.2024,,W000,28.857,,0.06,0.17,0.004,0.012,0.001,0.004,0.02,99.729
,310,758180,08.09.2024,,W000,22.691,,0.07,0.2,0.001,0.002,0.001,0.004,0.02,99.702
,311,758184,08.09.2024,,W000,26.483,,0.06,0.2,0.001,0.001,0.001,0.004,0.02,99.713
,312,758188,08.09.2024,,W000,28.551,,0.07,0.25,0.001,0.002,0.001,0.004,0.02,99.652
,313,758192,09.09.2024,,W000,32.705,,0.07,0.2,0.002,0.007,0.001,0.004,0.02,99.696
,314,758196,09.09.2024,,W000,24.205,,0.07,0.19,0.001,0.004,0.001,0.004,0.02,99.71
